year	conf_id	conf_name	conf_url
2014	-1	ALL TEAMS	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=-1
2014	30022.0	Allegheny Mountain CC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=30022.0
2014	14825.0	American Southwest	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=14825.0
2014	15810.0	CAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=15810.0
2014	839.0	CCC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=839.0
2014	836.0	CCIW	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=836.0
2014	21062.0	CSAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=21062.0
2014	834.0	CUNYAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=834.0
2014	9683.0	Centennial	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=9683.0
2014	26388.0	Division III Independents	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=26388.0
2014	863.0	Empire 8	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=863.0
2014	23257.0	Great Northeast	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=23257.0
2014	30074.0	Great South	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=30074.0
2014	9174.0	HCAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=9174.0
2014	864.0	IIAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=864.0
2014	30101.0	Landmark	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=30101.0
2014	24197.0	Liberty League	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=24197.0
2014	867.0	Little East	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=867.0
2014	28744.0	MAC Commonwealth	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=28744.0
2014	28745.0	MAC Freedom	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=28745.0
2014	870.0	MASCAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=870.0
2014	873.0	Michigan Intercol.	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=873.0
2014	23119.0	Midwest Conference	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=23119.0
2014	882.0	Minn. Intercol.	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=882.0
2014	30071.0	NEAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=30071.0
2014	888.0	NECC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=888.0
2014	12817.0	NESCAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=12817.0
2014	890.0	NEWMAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=890.0
2014	891.0	NJAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=891.0
2014	897.0	North Coast	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=897.0
2014	30097.0	Northern Athletics	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=30097.0
2014	25300.0	Northwest	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=25300.0
2014	903.0	ODAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=903.0
2014	901.0	Ohio AC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=901.0
2014	907.0	Presidents' AC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=907.0
2014	835.0	SCAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=835.0
2014	910.0	SCIAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=910.0
2014	12974.0	SLIAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=12974.0
2014	917.0	SUNYAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=917.0
2014	13054.0	Skyline	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=13054.0
2014	1471.0	UAA	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=1471.0
2014	30115.0	UMAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=30115.0
2014	842.0	USA South	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=842.0
2014	1473.0	WIAC	http://stats.ncaa.org/team/inst_team_list?academic_year=2015&division=2&sport_code=MBA&conf_id=1473.0
